"date","time","time_zone","waterbody","site","depth","field_dups","lab_reps","device","variable","units","value","notes"
"2025-04-23","10:36:09","US/Eastern","mashapaug","4","0.44","1",,"handheld exo2","phycocyanin","RFU",0.61,
"2025-04-23","10:36:09","US/Eastern","mashapaug","4","0.44","1",,"handheld exo2","barometric pressure","mmHG",764.6,
"2025-04-23","10:36:09","US/Eastern","mashapaug","4","0.44","1",,"handheld exo2","chlorophyll","RFU",1.12,
"2025-04-23","10:36:09","US/Eastern","mashapaug","4","0.44","1",,"handheld exo2","cond µs/cm","cond µs/cm",471.8,
"2025-04-23","10:36:09","US/Eastern","mashapaug","4","0.44","1",,"handheld exo2","specific conductivity","µs/cm",579.8,
"2025-04-23","10:36:09","US/Eastern","mashapaug","4","0.44","1",,"handheld exo2","salinity","psu",0.28,
"2025-04-23","10:36:09","US/Eastern","mashapaug","4","0.44","1",,"handheld exo2","dissolved oxygen sat.","%",118.5,
"2025-04-23","10:36:09","US/Eastern","mashapaug","4","0.44","1",,"handheld exo2","dissolved oxygen conc.","mg/L",11.86,
"2025-04-23","10:36:09","US/Eastern","mashapaug","4","0.44","1",,"handheld exo2","latitude","decimal degrees",0,
"2025-04-23","10:36:09","US/Eastern","mashapaug","4","0.44","1",,"handheld exo2","longitude","decimal degrees",0,
"2025-04-23","10:36:09","US/Eastern","mashapaug","4","0.44","1",,"handheld exo2","pH",,8.18,
"2025-04-23","10:36:09","US/Eastern","mashapaug","4","0.44","1",,"handheld exo2","water temperature","°C",15.253,
"2025-04-23","10:36:09","US/Eastern","mashapaug","4","0.44","1",,"handheld exo2","turbidity","FNU",7.45,
"2025-04-23","10:36:09","US/Eastern","mashapaug","4","0.44","1",,"handheld exo2","no3-n","mg/L",0.12,
"2025-04-23","10:36:33","US/Eastern","mashapaug","2","0.496","1",,"handheld exo2","phycocyanin","RFU",0.59,
"2025-04-23","10:36:33","US/Eastern","mashapaug","2","0.496","1",,"handheld exo2","barometric pressure","mmHG",764.5,
"2025-04-23","10:36:33","US/Eastern","mashapaug","2","0.496","1",,"handheld exo2","chlorophyll","RFU",0.79,
"2025-04-23","10:36:33","US/Eastern","mashapaug","2","0.496","1",,"handheld exo2","cond µs/cm","cond µs/cm",471.6,
"2025-04-23","10:36:33","US/Eastern","mashapaug","2","0.496","1",,"handheld exo2","specific conductivity","µs/cm",579.7,
"2025-04-23","10:36:33","US/Eastern","mashapaug","2","0.496","1",,"handheld exo2","salinity","psu",0.28,
"2025-04-23","10:36:33","US/Eastern","mashapaug","2","0.496","1",,"handheld exo2","dissolved oxygen sat.","%",119.3,
"2025-04-23","10:36:33","US/Eastern","mashapaug","2","0.496","1",,"handheld exo2","dissolved oxygen conc.","mg/L",11.95,
"2025-04-23","10:36:33","US/Eastern","mashapaug","2","0.496","1",,"handheld exo2","latitude","decimal degrees",41.78968,
"2025-04-23","10:36:33","US/Eastern","mashapaug","2","0.496","1",,"handheld exo2","longitude","decimal degrees",-71.43172,
"2025-04-23","10:36:33","US/Eastern","mashapaug","2","0.496","1",,"handheld exo2","pH",,8.3,
"2025-04-23","10:36:33","US/Eastern","mashapaug","2","0.496","1",,"handheld exo2","water temperature","°C",15.236,
"2025-04-23","10:36:33","US/Eastern","mashapaug","2","0.496","1",,"handheld exo2","turbidity","FNU",7.59,
"2025-04-23","10:36:33","US/Eastern","mashapaug","2","0.496","1",,"handheld exo2","no3-n","mg/L",0.06,
"2025-04-23","10:38:00","US/Eastern","mashapaug","2","1.021","1",,"handheld exo2","phycocyanin","RFU",0.86,
"2025-04-23","10:38:00","US/Eastern","mashapaug","2","1.021","1",,"handheld exo2","barometric pressure","mmHG",764.5,
"2025-04-23","10:38:00","US/Eastern","mashapaug","2","1.021","1",,"handheld exo2","chlorophyll","RFU",0.99,
"2025-04-23","10:38:00","US/Eastern","mashapaug","2","1.021","1",,"handheld exo2","cond µs/cm","cond µs/cm",469.7,
"2025-04-23","10:38:00","US/Eastern","mashapaug","2","1.021","1",,"handheld exo2","specific conductivity","µs/cm",579.3,
